Depth (m)          Deflection (mm)                        
0.12000                 11.36628                        
0.24000                 11.30688                        
0.24000                 11.30688                        
0.36000                 11.21124                        
0.36000                 11.21124                        
0.48000                 11.08205                        
0.48000                 11.08205                        
0.60000                 10.92194                        
0.60000                 10.92194                        
0.72000                 10.73347                        
0.72000                 10.73347                        
0.84000                 10.51915                        
0.84000                 10.51915                        
0.96000                 10.28143                        
0.96000                 10.28143                        
1.08000                 10.02268                        
1.08000                 10.02268                        
1.20000                  9.74522                        
1.20000                  9.74522                        
1.32000                  9.45129                        
1.32000                  9.45129                        
1.44000                  9.14304                        
1.44000                  9.14304                        
1.56000                  8.82259                        
1.56000                  8.82259                        
1.68000                  8.49193                        
1.68000                  8.49193                        
1.80000                  8.15303                        
1.80000                  8.15303                        
1.92000                  7.80772                        
1.92000                  7.80772                        
2.04000                  7.45781                        
2.04000                  7.45781                        
2.16000                  7.10498                        
2.16000                  7.10498                        
2.28000                  6.75086                        
2.28000                  6.75086                        
2.40000                  6.39697                        
2.40000                  6.39697                        
2.52000                  6.04477                        
2.52000                  6.04477                        
2.64000                  5.69562                        
2.64000                  5.69562                        
2.76000                  5.35079                        
2.76000                  5.35079                        
2.88000                  5.01148                        
2.88000                  5.01148                        
3.00000                  4.67880                        
3.00000                  4.67880                        
3.12000                  4.35376                        
3.12000                  4.35376                        
3.24000                  4.03728                        
3.24000                  4.03728                        
3.36000                  3.73023                        
3.36000                  3.73023                        
3.48000                  3.43334                        
3.48000                  3.43334                        
3.60000                  3.14729                        
3.60000                  3.14729                        
3.72000                  2.87267                        
3.72000                  2.87267                        
3.84000                  2.60998                        
3.84000                  2.60998                        
3.96000                  2.35962                        
3.96000                  2.35962                        
4.08000                  2.12194                        
4.08000                  2.12194                        
4.20000                  1.89719                        
4.20000                  1.89719                        
4.32000                  1.68552                        
4.32000                  1.68552                        
4.44000                  1.48703                        
4.44000                  1.48703                        
4.56000                  1.30174                        
4.56000                  1.30174                        
4.68000                  1.12957                        
4.68000                  1.12957                        
4.80000                  0.97040                        
4.80000                  0.97040                        
4.92000                  0.82403                        
4.92000                  0.82403                        
5.04000                  0.69019                        
5.04000                  0.69019                        
5.16000                  0.56855                        
5.16000                  0.56855                        
5.28000                  0.45873                        
5.28000                  0.45873                        
5.40000                  0.36030                        
5.40000                  0.36030                        
5.52000                  0.27275                        
5.52000                  0.27275                        
5.64000                  0.19557                        
5.64000                  0.19557                        
5.76000                  0.12816                        
5.76000                  0.12816                        
5.88000                  0.06992                        
5.88000                  0.06992                        
6.00000                  0.02020                        
6.00000                  0.02020                        
6.12000                 -0.02167                        
6.12000                 -0.02167                        
6.24000                 -0.05636                        
6.24000                 -0.05636                        
6.36000                 -0.08453                        
6.36000                 -0.08453                        
6.48000                 -0.10685                        
6.48000                 -0.10685                        
6.60000                 -0.12394                        
6.60000                 -0.12394                        
6.72000                 -0.13639                        
6.72000                 -0.13639                        
6.84000                 -0.14476                        
6.84000                 -0.14476                        
6.96000                 -0.14958                        
6.96000                 -0.14958                        
7.08000                 -0.15136                        
7.08000                 -0.15136                        
7.20000                 -0.15055                        
7.20000                 -0.15055                        
7.32000                 -0.14758                        
7.32000                 -0.14758                        
7.44000                 -0.14284                        
7.44000                 -0.14284                        
7.56000                 -0.13668                        
7.56000                 -0.13668                        
7.68000                 -0.12944                        
7.68000                 -0.12944                        
7.80000                 -0.12140                        
7.80000                 -0.12140                        
7.92000                 -0.11282                        
7.92000                 -0.11282                        
8.04000                 -0.10392                        
8.04000                 -0.10392                        
8.16000                 -0.09490                        
8.16000                 -0.09490                        
8.28000                 -0.08592                        
8.28000                 -0.08592                        
8.40000                 -0.07712                        
8.40000                 -0.07712                        
8.52000                 -0.06860                        
8.52000                 -0.06860                        
8.64000                 -0.06045                        
8.64000                 -0.06045                        
8.76000                 -0.05274                        
8.76000                 -0.05274                        
8.88000                 -0.04551                        
8.88000                 -0.04551                        
9.00000                 -0.03880                        
9.00000                 -0.03880                        
